Буква,к-сть,Частота,Ентропія,Загальна Ентропія,Надлишковість
ум,329,0.0014269109330002428,0.013488430661500593,,
со,695,0.0030142951320217895,0.025241597731477407,,
св,507,0.002198917456021651,0.019414222068346712,,
ои,514,0.0022292772631067625,0.01963816759932282,,
мм,73,0.0003166094167447347,0.0036805870703279374,,
вд,152,0.000659241525276708,0.0069661427407699756,,
сь,974,0.004224350300128379,0.03331768235766446,,
рх,49,0.00021251864959578087,0.002592753649750904,,
ек,577,0.002502515526872766,0.021627753363595136,,
бн,90,0.0003903403768085771,0.004419816153590633,,
як,224,0.0009715138267235696,0.009722403102828573,,
ду,429,0.0018606224627875508,0.01687584375686695,,
пе,540,0.0023420422608514623,0.020464805502138573,,
ул,598,0.002593594948128101,0.022281136138096163,,
рб,34,0.00014746192012768467,0.0018768024083124027,,
ао,286,0.0012404149751917004,0.011976158750398072,,
ча,600,0.0026022691787238473,0.022343119815011237,,
ро,2305,0.009997050761597447,0.06642322180605881,,
ес,1574,0.006826619478852226,0.04911488489021216,,
ий,386,0.0016741265049790084,0.01543942365807815,,
тв,657,0.0028494847507026127,0.02409263068047061,,
уб,205,0.0008891086360639811,0.009011429591565636,,
ед,935,0.004055202803511329,0.03222268291370975,,
яе,64,0.00027757537906387703,0.003279506685544124,,
сл,681,0.0029535755178515667,0.02481984549279388,,
ип,586,0.002541549564553624,0.021908350197301814,,
вэ,84,0.0003643176850213386,0.004161424349516367,,
тс,350,0.0015179903542555774,0.014213887362563862,,
пу,220,0.0009541653655320774,0.009573592489358553,,
ьо,192,0.0008327261371916311,0.008518680355813256,,
ея,74,0.00032094653204260785,0.0037247062738371296,,
аж,307,0.001331494396447035,0.012719417021377352,,
уе,69,0.0002992609555532424,0.0035032410127159267,,
це,220,0.0009541653655320774,0.009573592489358553,,
лд,68,0.00029492384025536935,0.003458680976369436,,
их,390,0.0016914749661705007,0.015574259910789562,,
рм,63,0.00027323826376600397,0.003234472387838011,,
ьв,302,0.0013098088199576697,0.012543289902208297,,
де,1050,0.004553971062766732,0.035423788723837044,,
хм,59,0.00025588980257451165,0.0030533256726655348,,
гл,398,0.0017261718885534852,0.015843164900077072,,
йп,232,0.0010062107491065544,0.010018691286164394,,
яс,427,0.0018519482321918046,0.01680965354783247,,
ди,533,0.002311682453766351,0.020243035806282034,,
ых,253,0.001097290170361889,0.010788380508888765,,
па,442,0.0019170049616599007,0.017304670008061396,,
ые,284,0.0012317407445959544,0.011904879799430343,,
рг,396,0.0017174976579577392,0.01577603377988186,,
ьк,395,0.001713160542659866,0.01574244453839151,,
