Буква,к-сть,Частота,Ентропія,Загальна Ентропія,Надлишковість
жи,330,0.0012042257375882643,0.011678193957214587,,
зн,367,0.0013392449869542211,0.01278224216146283,,
рг,339,0.0012370682577043078,0.011948668095457316,,
тн,359,0.0013100516357399603,0.01254526486847928,,
ая,593,0.002163957158757093,0.019155591883781478,,
дц,60,0.00021895013410695713,0.002661800874948361,,
ня,384,0.0014012808582845257,0.013282794701925598,,
че,994,0.003627273888371923,0.02940594160801799,,
ру,674,0.002459539839801485,0.021317805426315232,,
пн,76,0.00027733683653547906,0.00327703234166707,,
сп,427,0.0015581951210611783,0.014531584940445425,,
ец,88,0.00032112686335687045,0.0037265388509897016,,
иа,43,0.00015691426277665262,0.0019830410098768984,,
му,434,0.0015837393033736567,0.01473265474710903,,
сд,74,0.0002700384987319138,0.003201184149581159,,
ше,530,0.001934059517944788,0.01743390665024871,,
аж,261,0.0009524330833652635,0.009558708567822524,,
йш,38,0.00013866841826773953,0.0017771845891012745,,
ее,372,0.0013574908314631343,0.012929885456187425,,
ти,939,0.0034265695987738794,0.0280602445568078,,
рс,49,0.00017880927618734834,0.0022260486765648896,,
тв,548,0.0019997445581768753,0.01792964683415706,,
ж ,73,0.0002663893298301312,0.003163153808991762,,
бр,276,0.001007170616892003,0.010026863090637904,,
ес,1189,0.004338861824219534,0.03405341663036926,,
н ,863,0.0031492327622384,0.026172592914262164,,
же,854,0.0031163902421223566,0.025946779638768493,,
ик,729,0.0026602441293995293,0.02275632853342432,,
ае,324,0.0011823307241775685,0.011497162066821763,,
вн,227,0.0008283613407046545,0.008480309592039666,,
со,670,0.002444943164194355,0.021212286199823974,,
им,636,0.002320871421533746,0.020310218944918693,,
уж,323,0.0011786815552757859,0.011466933503779685,,
дв,244,0.0008903972120349591,0.009022629394834464,,
ое,456,0.0016640210192128743,0.01536076211492534,,
м ,2025,0.007389567026109803,0.05232031039590041,,
рх,53,0.0001934059517944788,0.002385871330009381,,
кр,599,0.002185852172167789,0.019317661907813432,,
бн,92,0.00033572353896400094,0.00387439691674664,,
як,68,0.0002481434853212181,0.002971899831888969,,
ду,428,0.001561844289962961,0.01456034595754169,,
з ,387,0.0014122283649898736,0.013370711086964688,,
ул,581,0.0021201671319357016,0.018830489731272316,,
 а,809,0.0029521776415421387,0.024810114920257385,,
рб,20,7.298337803565239e-05,0.0010029428756785856,,
ьн,372,0.0013574908314631343,0.012929885456187425,,
ки,733,0.00267484080500666,0.022860075570186482,,
т ,1619,0.00590800445198606,0.04373762675687058,,
ди,534,0.0019486561935519186,0.017544345485632912,,
сл,687,0.002506979035524659,0.021659883593121848,,
ап,238,0.0008685021986242634,0.008831957688109978,,
ви,921,0.003360884558541792,0.027616197840679854,,
 э,685,0.0024996806977210942,0.021607341097852263,,
д ,452,0.0016494243436057437,0.01524698450578998,,
пу,221,0.0008064663272939588,0.008287327079365126,,
тс,214,0.0007809221449814805,0.008061095123752325,,
др,221,0.0008064663272939588,0.008287327079365126,,
их,370,0.001350192493659569,0.012870870863371615,,
ьг,23,8.393088474100023e-05,0.0011364609986686605,,
ах,310,0.0011312423595526118,0.011072460208721794,,
нр,7,2.5544182312478334e-05,0.00038971853973985703,,
мы,225,0.0008210630029010893,0.008416075962422177,,
х ,809,0.0029521776415421387,0.024810114920257385,,
па,440,0.0016056343167843523,0.014904526824691644,,
нт,225,0.0008210630029010893,0.008416075962422177,,
гд,251,0.0009159413943474374,0.009244099217359745,,
жа,363,0.0013246483113470908,0.01266386954239642,,
вм,33,0.00012042257375882643,0.00156785452674955,,
рт,268,0.0009779772656777418,0.009777730103590117,,
ир,298,0.0010874523327312204,0.010705785655605192,,
сч,89,0.0003247760322586531,0.0037635914454604417,,
тл,63,0.000229897640812305,0.0027787085782751833,,
ив,656,0.002393854799569398,0.020841973857122296,,
ин,831,0.003032459357381356,0.02536742005648982,,
с ,809,0.0029521776415421387,0.024810114920257385,,
вя,70,0.0002554418231247833,0.0030486260285511038,,
ад,608,0.0022186946922838325,0.019560174656485064,,
ца,190,0.0006933420913386976,0.00727603246425909,,
ыш,133,0.00048533946393708834,0.005342965392838965,,
ам,871,0.003178426113452661,0.02637290083217615,,
оп,352,0.0012845074534274818,0.012337140497103842,,
ча,633,0.0023099239148283977,0.020230172630497395,,
ья,135,0.0004926378017406536,0.0054127026877218406,,
ги,172,0.0006276570511066105,0.006676849937294373,,
ои,193,0.0007042895980440455,0.007374999236077617,,
ло,1725,0.006294816355575018,0.046025305131304706,,
нщ,42,0.00015326509387486999,0.0019421267181030952,,
йт,98,0.0003576185523746967,0.004094478800755082,,
чу,147,0.000536427828562045,0.005827928037080549,,
ящ,114,0.00041600525480321856,0.004672201038337772,,
дь,189,0.000689692922436915,0.007242988315750255,,
ме,851,0.003105442735417009,0.025871397840954328,,
бя,118,0.00043060193041034905,0.004814714163876295,,
ми,730,0.0026638932983013117,0.022782276100508328,,
аю,193,0.0007042895980440455,0.007374999236077617,,
еи,50,0.00018245844508913095,0.0022661602444836782,,
зв,293,0.0010692064882223073,0.010552259491222626,,
ид,438,0.001598335978980787,0.014847284284731796,,
ич,444,0.0016202309923914829,0.015018868539648745,,
тд,44,0.00016056343167843523,0.002023832857173286,,
вд,74,0.0002700384987319138,0.003201184149581159,,
ис,769,0.002806210885470834,0.02378870106569337,,
пы,85,0.0003101793566515226,0.0036150193405009986,,
шл,111,0.0004050577480978707,0.004564832631107928,,
лс,490,0.0017880927618734834,0.016320571183716628,,
ач,252,0.00091959056324922,0.009275653186602293,,
ср,44,0.00016056343167843523,0.002023832857173286,,
ок,735,0.002682139142810225,0.022911905955314577,,
зу,110,0.0004014085791960881,0.004528948864565087,,
уд,482,0.0017588994106592223,0.01609588428209708,,
 р,1052,0.003838925684675315,0.030807692077107568,,
уз,55,0.00020070428959804404,0.0024651787218805876,,
ак,1116,0.004072472494389402,0.03233494017973672,,
зи,116,0.00042330359260678383,0.0047435483752232615,,
дя,94,0.0003430218767675662,0.003947980032709857,,
ля,346,0.0012626124400167862,0.012158165399571498,,
зд,231,0.000842958016311785,0.008608499351066046,,
ий,402,0.0014669658985166129,0.01380847511491624,,
иш,122,0.00044519860601747953,0.0049565133034347114,,
зм,60,0.00021895013410695713,0.002661800874948361,,
см,171,0.0006240078822048278,0.00664328034626241,,
еш,206,0.0007517287937672195,0.007801065643417226,,
кл,223,0.0008137646650975241,0.008351748738009868,,
ян,161,0.0005875161931870016,0.006305860513948549,,
ия,242,0.0008830988742313938,0.00895915942078538,,
ях,51,0.00018610761399091356,0.0023061665126242674,,
сх,44,0.00016056343167843523,0.002023832857173286,,
еп,288,0.0010509606437133943,0.01039828410385149,,
ьм,70,0.0002554418231247833,0.0030486260285511038,,
вы,698,0.0025471198934442683,0.02194832176920366,,
ан,1392,0.005079643111281406,0.03871225043168876,,
яв,124,0.00045249694382104474,0.005027152506376425,,
аг,246,0.0008976955498385243,0.009086013062378114,,
цу,34,0.00012407174266060905,0.0016100216586050933,,
зг,77,0.00028098600543726164,0.0033148520655341728,,
яд,164,0.0005984636998923495,0.006407420864065274,,
рл,45,0.00016421260058021786,0.00206450504330616,,
ио,93,0.00033937270786578357,0.003911216779778424,,
бу,296,0.0010801539949276552,0.010644428608469324,,
хг,1,3.649168901782619e-06,6.591858938353284e-05,,
уп,175,0.0006386045578119584,0.0067773757648830115,,
ши,484,0.0017661977484627876,0.016152121093107975,,
ых,240,0.0008758005364278285,0.008895602426937788,,
лу,360,0.0013137008046417429,0.012574937932524052,,
хо,498,0.0018172861130877442,0.016544570428612668,,
фо,57,0.00020800262740160928,0.0025441031465704956,,
ба,288,0.0010509606437133943,0.01039828410385149,,
шн,93,0.00033937270786578357,0.003911216779778424,,
ув,205,0.0007480796248654369,0.007768448231624609,,
пл,233,0.0008502563541153502,0.00867245708692495,,
дч,30,0.00010947506705347856,0.001440375504527659,,
ощ,66,0.00024084514751765285,0.002894863905981447,,
гр,356,0.0012991041290346123,0.012456157523772542,,
яс,200,0.0007298337803565238,0.007604973417221665,,
 ш,266,0.0009706789278741767,0.009715251857803755,,
зо,172,0.0006276570511066105,0.006676849937294373,,
йд,32,0.0001167734048570438,0.0015255278359878317,,
ук,253,0.0009232397321510027,0.009307186264369858,,
бм,11,4.014085791960881e-05,0.0005862399301325391,,
ыв,223,0.0008137646650975241,0.008351748738009868,,
ыт,152,0.0005546736730709581,0.0059993910102631815,,
зя,74,0.0002700384987319138,0.003201184149581159,,
тя,112,0.00040870691699965335,0.004600668967839099,,
уч,178,0.0006495520645173062,0.006877630826403577,,
ун,145,0.0005291294907584798,0.005759093820120479,,
цо,79,0.0002882843432408269,0.00339028726837669,,
шт,27,9.852756034813072e-05,0.001311314448037403,,
ющ,128,0.0004670936194281752,0.005167924105094976,,
нц,69,0.00025179265422300073,0.0030103010811054773,,
йн,101,0.00036856605908004453,0.004203786761017488,,
сы,93,0.00033937270786578357,0.003911216779778424,,
зе,194,0.0007079387669458281,0.007407933414011652,,
рк,103,0.00037586439688360975,0.004276397218592223,,
ты,398,0.0014523692229094823,0.013692030785946187,,
ту,512,0.001868374477712701,0.016934947464954504,,
йс,96,0.0003503202145711314,0.004021339104623663,,
ыч,44,0.00016056343167843523,0.002023832857173286,,
мя,148,0.0005400769974638276,0.0058622913016984895,,
вл,165,0.0006021128687941321,0.006441209847401426,,
ял,229,0.0008356596785082198,0.008544450451507509,,
ым,342,0.0012480157644096557,0.012038544928115163,,
чк,127,0.0004634444505263926,0.005132793717145329,,
ущ,64,0.0002335468097140876,0.0028175088622615758,,
зз,32,0.0001167734048570438,0.0015255278359878317,,
ву,174,0.0006349553889101757,0.0067438974706916215,,
чо,20,7.298337803565239e-05,0.0010029428756785856,,
нк,63,0.000229897640812305,0.0027787085782751833,,
зр,77,0.00028098600543726164,0.0033148520655341728,,
ые,248,0.0009049938876420895,0.00914931112511076,,
ищ,59,0.00021530096520517452,0.0026226580471433217,,
уг,233,0.0008502563541153502,0.00867245708692495,,
нч,48,0.0001751601072855657,0.002185829659597397,,
иц,275,0.0010035214479902203,0.0099957889654924,,
хн,105,0.000383162734687175,0.004348803211360889,,
уш,189,0.000689692922436915,0.007242988315750255,,
оо,48,0.0001751601072855657,0.002185829659597397,,
ек,361,0.0013173499735435255,0.012604596372555912,,
зб,41,0.00014961592497308738,0.0019010870659624932,,
хл,43,0.00015691426277665262,0.0019830410098768984,,
хе,17,6.203587133030452e-05,0.0008670467006328512,,
сс,208,0.0007590271315707848,0.007866223920680454,,
ум,240,0.0008758005364278285,0.008895602426937788,,
 х,304,0.0011093473461419162,0.010889434674384448,,
мс,52,0.0001897567828926962,0.0023460695459555057,,
ии,110,0.0004014085791960881,0.004528948864565087,,
ша,285,0.0010400131370080464,0.010305680010981555,,
щн,16,5.83867024285219e-05,0.0008211506204224377,,
ьз,27,9.852756034813072e-05,0.001311314448037403,,
ьс,186,0.0006787454157315671,0.007143688143825279,,
уе,58,0.00021165179630339192,0.0025834259839150227,,
ха,118,0.00043060193041034905,0.004814714163876295,,
нд,249,0.0009086430565438721,0.009180928270850207,,
лы,240,0.0008758005364278285,0.008895602426937788,,
ех,110,0.0004014085791960881,0.004528948864565087,,
кт,206,0.0007517287937672195,0.007801065643417226,,
кв,121,0.0004415494371156969,0.004921129147508387,,
ч ,155,0.0005656211797763059,0.006101851284137203,,
лн,110,0.0004014085791960881,0.004528948864565087,,
яж,40,0.00014596675607130477,0.0018599189952858664,,
 ц,58,0.00021165179630339192,0.0025834259839150227,,
ыб,77,0.00028098600543726164,0.0033148520655341728,,
вш,259,0.0009451347455616984,0.00949595058913546,,
рь,180,0.0006568504023208714,0.006944319368582898,,
ух,202,0.0007371321181600891,0.007670441403874887,,
ьш,91,0.00033207437006221836,0.0038375198282632255,,
фа,93,0.00033937270786578357,0.003911216779778424,,
иж,74,0.0002700384987319138,0.003201184149581159,,
лк,110,0.0004014085791960881,0.004528948864565087,,
нс,109,0.00039775941029430545,0.004493017237018647,,
